Model,MAE,RMSE,R2,CV_MAE_Mean,CV_MAE_STD,CV_RMSE_Mean,CV_RMSE_STD,CV_R2_Mean,CV_R2_STD
Linear Regression,1.64666561971475,2.3783697847961367,0.7241341236974022,1.3782964489517169,0.1647192520193411,2.056704869759019,0.1764699747023886,0.7916292006363465,0.0421970302007913
Decision Tree,1.4395200531138892,2.579304679928234,0.6755524361916203,1.0579490911450757,0.25022234585953856,1.8756899154365925,0.5000678183749463,0.8113221308271268,0.09824649484234985
Random Forest,1.2117849294023806,2.028688307681932,0.7992895994863243,1.0268989490727396,0.13843944819552806,1.6176066347452867,0.333754109235702,0.8665355735179536,0.05707204126569432
